# IDA Pro 9.1 recovered symbol names for SLPS_017.62 (503 functions)
# Format: 0xADDRESS name  -- merge into config/pepsiman_symbols.txt as needed
0x8001316C main
0x8005A910 GsTMDfastF3NL
0x8005B864 GsTMDfastNG4
0x8005B9E4 GsTMDfastG4NL
0x8005BF24 GsTMDfastTNF3
0x8005C090 GsTMDfastTF3NL
0x8005CB74 GsTMDfastTNG3
0x8005CCEC GsTMDfastTG3NL
0x8005D1B4 GsTMDfastTNG4
0x8005D370 GsTMDfastTG4NL
0x8005DB64 ReadSZfifo3
0x8005DB84 RotAverageNclipColorCol3
0x8005DE94 RotAverageNclipColorDpq3
0x8005DF64 GsTMDdivF3NL
0x8005E154 RotAverageNclip3
0x8005E1E4 GsTMDdivNF3
0x8005E3D4 GsTMDdivTF3L
0x8005E79C NormalColorDpq
0x8005E7C0 NormalColorDpq3
0x8005E808 NormalColorCol
0x8005E828 NormalColorCol3
0x8005E8E4 RotAverage3
0x8005E944 GsTMDdivTF3LFG
0x8005EC74 GsTMDdivTF3NL
0x8005EF24 GsTMDdivTNF3
0x8005F654 RotAverageNclipColorDpq3_1
0x8005F754 GsTMDdivG3NL
0x8005F954 GsTMDdivNG3
0x80060054 GsTMDdivTG3NL
0x80060284 GsTMDdivTNG3
0x800604C4 GsTMDdivF4L
0x80060734 ReadSZfifo4
0x80060754 RotAverageNclip4
0x80060804 GsTMDdivF4LFG
0x80060A74 GsTMDdivF4NL
0x80060CB4 GsTMDdivNF4
0x80060EF4 GsTMDdivTF4L
0x80061194 GsTMDdivTF4LFG
0x80061434 GsTMDdivTF4NL
0x800616B4 GsTMDdivTNF4
0x80061934 GsTMDdivG4L
0x80061BE4 GsTMDdivG4LFG
0x80061EA4 GsTMDdivG4NL
0x80062104 GsTMDdivNG4
0x80062364 GsTMDdivTG4L
0x80062654 GsTMDdivTG4LFG
0x80062954 GsTMDdivTG4NL
0x80062BE4 GsTMDdivTNG4
0x80062E9C RCpolyF3A
0x8006320C RCpolyFT3A
0x8006360C RCpolyG3A
0x80063A1C RCpolyGT3A
0x80063EBC RCpolyF4A
0x8006433C RCpolyFT4A
0x8006485C RCpolyG4A
0x80064DAC RCpolyGT4A
0x800653C4 GsSortObject4J_0
0x80065C54 GsTMDfastG3GL
0x80065E54 GsTMDfastG3GLFG
0x80066054 GsTMDfastG3GNL
0x800661C4 GsTMDfastF3GL
0x800663E4 GsTMDfastF3GLFG
0x80066604 GsTMDfastF3GNL
0x80066784 GsTMDfastF4GL
0x80066A14 GsTMDfastF4GLFG
0x80066CA4 GsTMDfastF4GNL
0x80066E74 GsTMDfastG4GL
0x800670F4 GsTMDfastG4GLFG
0x80067374 GsTMDfastG4GNL
0x80067574 FntLoad
0x80067614 FntOpen
0x800678CC FntFlush
0x80067BE8 FntPrint
0x80067FB4 ResetGraph
0x80068128 SetGraphDebug
0x80068184 SetGraphQueue
0x80068228 GetGraphDebug
0x80068238 DrawSyncCallback
0x80068298 SetDispMask
0x80068330 DrawSync
0x800684B4 ClearImage
0x80068544 ClearImage2
0x800685DC LoadImage
0x8006863C StoreImage
0x8006869C MoveImage
0x80068754 ClearOTag
0x8006881C ClearOTagR
0x800688C8 DrawPrim
0x80068924 DrawOTag
0x80068994 PutDrawEnv
0x80068A54 DrawOTagEnv
0x80068B2C GetDrawEnv
0x80068B60 PutDispEnv
0x80069058 GetDispEnv
0x8006908C GetODE
0x800690BC SetTexWindow
0x8006B144 GetTPage
0x8006B184 GetClut
0x8006B1A4 AddPrim
0x8006B1E4 TermPrim
0x8006B204 SetSemiTrans
0x8006B234 SetPolyF4
0x8006B254 SetSprt8
0x8006B274 SetTile
0x8006B364 DecDCTReset
0x8006B424 DecDCTPutEnv
0x8006B4BC DecDCTBufSize
0x8006B4C8 DecDCTin
0x8006B544 DecDCTout
0x8006B564 DecDCTinSync
0x8006B5A0 DecDCToutSync
0x8006B5DC DecDCTinCallback
0x8006B600 DecDCToutCallback
0x8006BA24 DecDCTvlc
0x8006BD74 _bu_init
0x8006BD84 _card_info
0x8006BD94 _card_load
0x8006BDA4 _card_clear
0x8006BDE4 _card_write
0x8006BDF4 _new_card
0x8006BE04 InitCARD
0x8006BE70 StartCARD
0x8006BEA8 StopCARD
0x8006BED4 InitCARD2
0x8006BEE4 StartCARD2
0x8006BEF4 StopCARD2
0x8006BF9C _patch_card
0x8006C030 _patch_card2
0x8006C0A0 _copy_memcard_patch
0x8006C0D4 _ExitCard_0
0x8006C174 setjmp
0x8006C184 strcmp
0x8006C194 strncmp
0x8006C1A4 strcpy
0x8006C1B4 strlen
0x8006C1C4 bzero
0x8006C1D4 memcpy
0x8006C1E4 memset
0x8006C1F4 rand
0x8006C204 printf
0x8006C228 DsReadyCallback
0x8006C250 DsDataCallback
0x8006C274 InitHeap
0x8006C284 FlushCache
0x8006C294 GPU_cw
0x8006C2C4 DeliverEvent
0x8006C2D4 OpenEvent
0x8006C2E4 CloseEvent
0x8006C2F4 WaitEvent
0x8006C304 TestEvent
0x8006C314 EnableEvent
0x8006C324 DisableEvent
0x8006C334 ReturnFromException
0x8006C344 ResetEntryInt
0x8006C354 HookEntryInt
0x8006C364 EnterCriticalSection
0x8006C374 ExitCriticalSection
0x8006C384 open
0x8006C394 lseek
0x8006C3A4 read
0x8006C3B4 write
0x8006C3C4 close
0x8006C3D4 format
0x8006C3E4 nextfile
0x8006C3F4 erase
0x8006C404 ChangeClearPAD
0x8006C414 ChangeClearRCnt
0x8006C424 SetRCnt
0x8006C55C ResetRCnt
0x8006C594 firstfile
0x8006C834 firstfile2
0x8006C850 ReadInitPadFlag
0x8006C860 PAD_init
0x8006C8F0 InitPAD
0x8006C980 StartPAD
0x8006C9B0 StopPAD
0x8006CB44 InitPAD2
0x8006CB54 StartPAD2
0x8006CB64 StopPAD2
0x8006CB74 PAD_init2
0x8006CB84 SysEnqIntRP
0x8006CB94 SysDeqIntRP
0x8006CBA4 EnablePAD
0x8006CBB8 DisablePAD
0x8006CBCC _patch_pad
0x8006CC44 _remove_ChgclrPAD
0x8006CCB4 PadChkVsync
0x8006CCD4 PadStartCom
0x8006CCF4 PadStopCom
0x8006CD60 PadGetState
0x8006EB44 unknown_libname_1
0x8006F174 PadInitDirect
0x8006FC94 setRC2wait
0x8006FCB4 chkRC2wait
0x8006FD54 SsInitHot
0x80071A88 _card_format
0x80071C94 _card_read
0x80071CA4 _card_status
0x80071CB4 strcat
0x80071CC4 UserFuncInit
0x80071CD4 UserFuncOpen
0x80071D50 UserFuncExecute
0x80071DBC UserFuncComplete
0x80071E74 _card_open
0x80071EA4 _card_start
0x80072080 _card_close
0x800720A0 _card_stop
0x80072154 _clr_card_event
0x8007225C _get_card_event
0x80072334 _get_card_event_x
0x8007240C _chk_card_event
0x80072448 _chk_card_event_x
