# Crimson Skies - IDA FLIRT-identified names (347 functions, VC6/MFC42/std/ATL)
# Format: 0xADDRESS name  -- adopt the non-CRT ones into functions.json
# Regenerate: tools/crimson_gap.py, then export the ida_name column of
#             crimson_ida_names.csv (see handoffs/crimsonskies.md).
0x005F6AAE ?GetInterfaceHook@CCmdTarget@@UAEPAUIUnknown@@PBX@Z
0x005F6AB4 ?OnCreateAggregates@CCmdTarget@@UAEHXZ
0x005F6ABA ?GetEventSinkMap@CCmdTarget@@MBEPBUAFX_EVENTSINKMAP@@XZ
0x005F6AC0 ?GetInterfaceMap@CCmdTarget@@MBEPBUAFX_INTERFACEMAP@@XZ
0x005F6AC6 ?GetConnectionMap@CCmdTarget@@MBEPBUAFX_CONNECTIONMAP@@XZ
0x005F6ACC ?GetDispatchMap@CCmdTarget@@MBEPBUAFX_DISPMAP@@XZ
0x005F6AD2 ?GetCommandMap@CCmdTarget@@MBEPBUAFX_OLECMDMAP@@XZ
0x005F6AD8 ?GetMessageMap@CDialog@@MBEPBUAFX_MSGMAP@@XZ
0x005F6ADE ?GetTypeLib@CCmdTarget@@UAEJKPAPAUITypeLib@@@Z
0x005F6AE4 ?GetTypeLibCache@CCmdTarget@@UAEPAVCTypeLibCache@@XZ
0x005F6AEA ?GetTypeInfoCount@CCmdTarget@@UAEIXZ
0x005F6AF0 ?GetDispatchIID@CCmdTarget@@UAEHPAU_GUID@@@Z
0x005F6AF6 ?IsInvokeAllowed@CCmdTarget@@UAEHJ@Z
0x005F6AFC ?OnFinalRelease@CWnd@@UAEXXZ
0x005F6B02 ?OnCmdMsg@CDialog@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z
0x005F6B08 ?GetRuntimeClass@CDialog@@UBEPAUCRuntimeClass@@XZ
0x005F6B0E ??0CWnd@@QAE@XZ
0x005F6B14 ??0CDialog@@QAE@IPAVCWnd@@@Z
0x005F6B1A ??1CComboBox@@UAE@XZ
0x005F6B20 ?DDV_MinMaxFloat@@YGXPAVCDataExchange@@ABMMM@Z
0x005F6B26 ?DDX_Text@@YGXPAVCDataExchange@@HAAM@Z
0x005F6B2C ?DDX_Control@@YGXPAVCDataExchange@@HAAVCWnd@@@Z
0x005F6B32 ?UpdateData@CWnd@@QAEHH@Z
0x005F6B38 ?SetFocus@CWnd@@QAEPAV1@XZ
0x005F6B3E ?MessageBoxA@CWnd@@QAEHPBD0I@Z
0x005F6B44 ?GetWindowTextA@CWnd@@QBEHPADH@Z
0x005F6B4A ?OnDestroy@CWnd@@IAEXXZ
0x005F6B50 ?DDX_Text@@YGXPAVCDataExchange@@HAAVCString@@@Z
0x005F6B56 ?Fail@CDataExchange@@QAEXXZ
